Year,Format,Total_Revenue
1973,8 - Track,489000000
1973,Cassette,76000000
1973,LP/EP,1246000000
1973,Other Tapes,15600000
1973,Vinyl Single,190000000
1974,8 - Track,549200000
1974,Cassette,87200000
1974,LP/EP,1356000000
1974,Other Tapes,13300000
1974,Vinyl Single,194000000
1975,8 - Track,583000000
1975,Cassette,98800000
1975,LP/EP,1485000000
1975,Other Tapes,10200000
1975,Vinyl Single,211500000
1976,8 - Track,678200000
1976,Cassette,145700000
1976,LP/EP,1663000000
1976,Other Tapes,5100000
1976,Vinyl Single,245100000
1977,8 - Track,811000000
1977,Cassette,249600000
1977,Vinyl Single,245100000
1978,8 - Track,948000000
1978,Cassette,449800000
1978,Vinyl Single,260300000
1979,8 - Track,684300000
1979,Cassette,580600000
1979,LP/EP,2057000000
1979,Vinyl Single,353600000
1980,8 - Track,527000000
1980,Cassette,705000000
1980,Vinyl Single,250000000
1981,8 - Track,313000000
1981,Cassette,1062800000
1981,Vinyl Single,256400000
1982,8 - Track,36000000
1982,Cassette,1384500000
1982,LP/EP,1925100000
1982,Vinyl Single,283000000
1983,Cassette,1810900000
1983,CD,17200000
1983,LP/EP,1689000000
1983,Vinyl Single,269300000
1984,CD,103300000
1984,LP/EP,1548800000
1984,Vinyl Single,298700000
1985,CD,389500000
1985,LP/EP,1280500000
1985,Vinyl Single,281000000
1986,CD,930100000
1986,LP/EP,983000000
1986,Vinyl Single,228100000
1987,Cassette Single,14300000
1987,CD,1593600000
1987,LP/EP,793100000
1987,Vinyl Single,203300000
1988,Cassette Single,57300000
1988,CD,2089900000
1988,CD Single,9800000
1988,LP/EP,532200000
1988,Vinyl Single,180400000
1989,Cassette Single,194600000
1989,CD Single,-700000
1989,LP/EP,220300000
1989,Music Video (Physical),115400000
1989,Vinyl Single,116400000
1990,Cassette Single,257900000
1990,CD Single,6000000
1990,LP/EP,86500000
1990,Music Video (Physical),172300000
1990,Vinyl Single,94400000
1991,Cassette Single,230400000
1991,CD Single,35100000
1991,LP/EP,29400000
1991,Music Video (Physical),118100000
1991,Vinyl Single,63900000
1992,Cassette Single,298800000
1992,CD Single,45100000
1992,LP/EP,13500000
1992,Music Video (Physical),157400000
1992,Vinyl Single,66400000
1993,Cassette Single,298500000
1993,CD Single,45800000
1993,LP/EP,10600000
1993,Music Video (Physical),213300000
1993,Vinyl Single,51200000
1994,Cassette Single,274900000
1994,CD Single,56100000
1994,LP/EP,17800000
