Index,Format,Year,Units, Revenue , Revenue (Inflation Adjusted) ,Revenue  Growth  Rate
0,8 - Track,1973,91000000,489000000,2699600000,0%
1,8 - Track,1974,96700000,549200000,2730600000,12%
2,8 - Track,1975,94600000,583000000,2656200000,6%
3,8 - Track,1976,106100000,678200000,2921600000,16%
4,8 - Track,1977,127300000,811000000,3280400000,20%
5,8 - Track,1978,133600000,948000000,3564000000,17%
6,8 - Track,1979,102300000,684300000,2310400000,-28%
7,8 - Track,1980,85000000,527000000,1567700000,-23%
8,8 - Track,1981,50000000,313000000,844000000,-41%
9,8 - Track,1982,13700000,36000000,91400000,-88%
46,Cassette,1973,15000000,76000000,419600000,111%
47,Cassette,1974,15300000,87200000,433600000,15%
48,Cassette,1975,16200000,98800000,450100000,13%
49,Cassette,1976,21800000,145700000,627700000,47%
50,Cassette,1977,36900000,249600000,1009600000,71%
51,Cassette,1978,61300000,449800000,1691000000,80%
52,Cassette,1979,78500000,580600000,1960300000,29%
53,Cassette,1980,99000000,705000000,2097200000,21%
54,Cassette,1981,124000000,1062800000,2865900000,51%
55,Cassette,1982,183200000,1384500000,3516800000,30%
56,Cassette,1983,236800000,1810900000,4456700000,31%
57,Cassette,1984,332000000,2383900000,5624100000,32%
58,Cassette,1985,339100000,2411500000,5493600000,1%
59,Cassette,1986,344500000,2499500000,5590100000,4%
60,Cassette,1987,410000000,2959700000,6386300000,18%
61,Cassette,1988,450100000,3385100000,7014000000,14%
62,Cassette,1989,446200000,3345800000,6613900000,-1%
63,Cassette,1990,442200000,3472400000,6512300000,4%
64,Cassette,1991,360100000,3019600000,5434400000,-13%
65,Cassette,1992,366400000,3116300000,5444500000,3%
66,Cassette,1993,339500000,2915800000,4946200000,-6%
67,Cassette,1994,345400000,2976400000,4922900000,2%
68,Cassette,1995,272600000,2303600000,3705100000,-23%
69,Cassette,1996,225300000,1905300000,2976600000,-17%
70,Cassette,1997,172600000,1522700000,2325500000,-20%
71,Cassette,1998,158500000,1419900000,2135300000,-7%
72,Cassette,1999,123600000,1061600000,1561900000,-25%
73,Cassette,2000,76000000,626000000,891100000,-41%
74,Cassette,2001,45000000,363400000,503000000,-42%
75,Cassette,2002,31100000,209800000,285900000,-42%
76,Cassette,2003,17200000,108100000,144000000,-48%
77,Cassette,2004,5200000,23700000,30800000,-78%
78,Cassette,2005,2500000,13100000,16400000,-45%
79,Cassette,2006,700000,3700000,4500000,-72%
80,Cassette,2007,400000,3000000,3500000,-19%
81,Cassette,2008,100000,900000,1000000,-70%
106,Cassette Single,1987,5100000,14300000,30900000,1489%
107,Cassette Single,1988,22500000,57300000,118700000,301%
108,Cassette Single,1989,76200000,194600000,384700000,240%
109,Cassette Single,1990,87400000,257900000,483700000,33%
110,Cassette Single,1991,69000000,230400000,414700000,-11%
111,Cassette Single,1992,84600000,298800000,522000000,30%
112,Cassette Single,1993,85600000,298500000,506400000,0%
113,Cassette Single,1994,81100000,274900000,454700000,-8%
114,Cassette Single,1995,70700000,236300000,380100000,-14%
115,Cassette Single,1996,59900000,189300000,295700000,-20%
116,Cassette Single,1997,42200000,133500000,203900000,-29%
117,Cassette Single,1998,26400000,94400000,142000000,-29%
118,Cassette Single,1999,14200000,48000000,70600000,-49%
119,Cassette Single,2000,1300000,4600000,6500000,-90%
120,Cassette Single,2001,-1500000,-5300000,-7300000,-215%
121,Cassette Single,2002,-500000,-1600000,-2200000,-70%
148,CD,1983,800000,17200000,42300000,-1175%
149,CD,1984,5800000,103300000,243700000,501%
